#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCA12	TGM1	9606.ENSP00000272895	9606.ENSP00000206765	0	0	0	0	0.079	0	0	0.951	0.952
ADRB2	AGTR1	9606.ENSP00000305372	9606.ENSP00000398832	0	0	0	0.602	0.042	0.068	0.400	0.791	0.873
ADRB2	GRK5	9606.ENSP00000305372	9606.ENSP00000376609	0	0	0	0	0.054	0.333	0.500	0.750	0.910
ADRB2	AKAP12	9606.ENSP00000305372	9606.ENSP00000384537	0	0	0	0	0.044	0.510	0	0.967	0.983
AGER	KRAS	9606.ENSP00000364210	9606.ENSP00000256078	0	0	0	0	0.057	0.311	0.900	0.250	0.944
AGER	S100P	9606.ENSP00000364210	9606.ENSP00000296370	0	0	0	0	0.072	0.948	0	0.270	0.962
AGER	SFTPC	9606.ENSP00000364210	9606.ENSP00000316152	0	0	0	0	0.743	0	0	0.516	0.870
AGER	S100A12	9606.ENSP00000364210	9606.ENSP00000357726	0	0	0	0	0.106	0.410	0.500	0.997	0.999
AGER	SFTPD	9606.ENSP00000364210	9606.ENSP00000361366	0	0	0	0	0.488	0	0	0.582	0.776
AGER	CD36	9606.ENSP00000364210	9606.ENSP00000415743	0	0	0	0	0.105	0	0	0.716	0.734
AGR2	SPDEF	9606.ENSP00000391490	9606.ENSP00000363149	0	0	0	0	0.382	0	0	0.664	0.784
AGR2	MUC5B	9606.ENSP00000391490	9606.ENSP00000436812	0	0	0	0	0.241	0.420	0	0.428	0.726
AGTR1	CXCL8	9606.ENSP00000398832	9606.ENSP00000306512	0	0	0	0	0	0	0.650	0.404	0.782
AGTR1	AGTR2	9606.ENSP00000398832	9606.ENSP00000360973	0	0	0	0.835	0.042	0	0.900	0.835	0.982
AGTR1	EDN1	9606.ENSP00000398832	9606.ENSP00000368683	0	0	0	0	0	0.128	0.500	0.785	0.898
AGTR1	GRK5	9606.ENSP00000398832	9606.ENSP00000376609	0	0	0	0	0.043	0.333	0.500	0.278	0.739
AGTR2	EDN1	9606.ENSP00000360973	9606.ENSP00000368683	0	0	0	0	0	0.128	0.500	0.593	0.807
AKAP12	HSPA12B	9606.ENSP00000384537	9606.ENSP00000254963	0	0	0	0	0.053	0.625	0	0.415	0.774
AKAP12	EGFR	9606.ENSP00000384537	9606.ENSP00000275493	0	0	0	0	0.490	0.329	0	0.491	0.810
AKAP12	CAVIN1	9606.ENSP00000384537	9606.ENSP00000349541	0	0	0	0	0.751	0	0	0.203	0.793
AKAP12	ANGPT1	9606.ENSP00000384537	9606.ENSP00000428340	0	0	0	0	0.047	0	0	0.732	0.733
AKR1B10	ALDH3A1	9606.ENSP00000352584	9606.ENSP00000411821	0	0	0	0	0.336	0.045	0.137	0.544	0.717
ALDH3A1	AOC3	9606.ENSP00000411821	9606.ENSP00000312326	0	0	0	0	0.079	0.071	0.918	0.096	0.928
ALDH3A1	GAD1	9606.ENSP00000411821	9606.ENSP00000350928	0	0	0	0	0.087	0.047	0.914	0.131	0.926
ALDH3A1	GSTM3	9606.ENSP00000411821	9606.ENSP00000354357	0	0	0	0	0.055	0.053	0.650	0.228	0.726
ALDH3A1	MGST1	9606.ENSP00000411821	9606.ENSP00000379512	0	0	0	0	0.049	0	0.650	0.225	0.719
ALDH3A1	GSTP1	9606.ENSP00000411821	9606.ENSP00000381607	0	0	0	0	0.061	0.053	0.650	0.314	0.758
ALK	KRAS	9606.ENSP00000373700	9606.ENSP00000256078	0	0	0	0	0.074	0.110	0.900	0.886	0.989
ALK	ERBB2	9606.ENSP00000373700	9606.ENSP00000269571	0	0	0	0.568	0	0.620	0	0.433	0.775
ALK	TGFBR2	9606.ENSP00000373700	9606.ENSP00000351905	0	0	0	0	0	0	0	0.947	0.947
ALK	PTEN	9606.ENSP00000373700	9606.ENSP00000361021	0	0	0	0	0	0.092	0	0.706	0.722
ALK	CD274	9606.ENSP00000373700	9606.ENSP00000370989	0	0	0	0	0	0	0	0.818	0.818
ALK	MYC	9606.ENSP00000373700	9606.ENSP00000478887	0	0	0	0	0	0.045	0.750	0.602	0.896
ALK	ALKAL2	9606.ENSP00000373700	9606.ENSP00000384604	0	0	0	0	0	0.926	0	0.592	0.968
ALK	MDK	9606.ENSP00000373700	9606.ENSP00000385451	0	0	0	0	0	0.292	0.900	0.971	0.997
ANGPT1	VWF	9606.ENSP00000428340	9606.ENSP00000261405	0	0	0	0	0.077	0.046	0	0.744	0.755
ANGPT1	FGF2	9606.ENSP00000428340	9606.ENSP00000264498	0	0	0	0	0.058	0	0	0.819	0.822
ANGPT1	EGF	9606.ENSP00000428340	9606.ENSP00000265171	0	0	0	0	0.043	0	0	0.729	0.729
ANGPT1	ERBB2	9606.ENSP00000428340	9606.ENSP00000269571	0	0	0	0	0.049	0	0.650	0.272	0.736
ANGPT1	EGFR	9606.ENSP00000428340	9606.ENSP00000275493	0	0	0	0	0.049	0	0.650	0.588	0.850
ANGPT1	FGFR4	9606.ENSP00000428340	9606.ENSP00000292408	0	0	0	0	0	0.115	0.650	0.157	0.716
ANGPT1	MET	9606.ENSP00000428340	9606.ENSP00000317272	0	0	0	0	0.061	0	0.650	0.356	0.770
ANGPT1	PTPRB	9606.ENSP00000428340	9606.ENSP00000334928	0	0	0	0	0.054	0.053	0	0.698	0.705
ANGPT1	TIE1	9606.ENSP00000428340	9606.ENSP00000361554	0	0	0	0	0.104	0.136	0	0.998	0.998
ANGPT1	TEK	9606.ENSP00000428340	9606.ENSP00000369375	0	0	0	0	0.163	0.889	0.900	0.999	0.999
ANGPT1	CXCL12	9606.ENSP00000428340	9606.ENSP00000379140	0	0	0	0	0.044	0	0	0.703	0.704
ANGPT1	CDH5	9606.ENSP00000428340	9606.ENSP00000497290	0	0	0	0	0.044	0.044	0	0.795	0.797
ANGPTL1	TIE1	9606.ENSP00000234816	9606.ENSP00000361554	0	0	0	0	0.072	0.115	0	0.699	0.732
ANGPTL1	LILRB2	9606.ENSP00000234816	9606.ENSP00000375629	0	0	0	0	0.059	0	0	0.804	0.807
ANGPTL1	TEK	9606.ENSP00000234816	9606.ENSP00000369375	0	0	0	0	0.092	0.115	0	0.846	0.866
ANK2	ERBB2	9606.ENSP00000349588	9606.ENSP00000269571	0	0	0	0	0	0.045	0	0.823	0.824
ANK2	SCN4B	9606.ENSP00000349588	9606.ENSP00000322460	0	0	0	0	0.149	0	0.500	0.703	0.862
ANK2	TRPM8	9606.ENSP00000349588	9606.ENSP00000323926	0	0	0	0	0	0	0	0.800	0.800
ANK2	SPTBN1	9606.ENSP00000349588	9606.ENSP00000349259	0	0	0	0	0.092	0.423	0.500	0.990	0.997
ANLN	DLGAP5	9606.ENSP00000265748	9606.ENSP00000247191	0	0	0	0	0.828	0	0	0.523	0.914
ANLN	CCNB1	9606.ENSP00000265748	9606.ENSP00000256442	0	0	0	0	0.607	0	0	0.657	0.860
ANLN	DEPDC1B	9606.ENSP00000265748	9606.ENSP00000265036	0	0	0	0	0.502	0	0.400	0.200	0.740
ANLN	CDC20	9606.ENSP00000265748	9606.ENSP00000361540	0	0	0	0	0.472	0	0	0.456	0.701
ANLN	TTK	9606.ENSP00000265748	9606.ENSP00000358813	0	0	0	0	0.546	0	0	0.374	0.704
ANLN	NUSAP1	9606.ENSP00000265748	9606.ENSP00000499238	0	0	0	0	0.523	0	0	0.421	0.712
ANLN	TYMS	9606.ENSP00000265748	9606.ENSP00000315644	0	0	0	0	0.462	0	0	0.517	0.729
ANLN	CCNA2	9606.ENSP00000265748	9606.ENSP00000481380	0	0	0	0	0.614	0	0	0.370	0.747
ANLN	EXO1	9606.ENSP00000265748	9606.ENSP00000355506	0	0	0	0	0.487	0	0	0.541	0.754
ANLN	UBE2C	9606.ENSP00000265748	9606.ENSP00000348838	0	0	0	0	0.476	0	0	0.584	0.773
ANLN	BIRC5	9606.ENSP00000265748	9606.ENSP00000301633	0	0	0	0	0.399	0.292	0	0.527	0.781
ANLN	KIF4A	9606.ENSP00000265748	9606.ENSP00000363524	0	0	0	0	0.565	0	0	0.520	0.782
ANLN	RRM2	9606.ENSP00000265748	9606.ENSP00000353770	0	0	0	0	0.420	0	0	0.645	0.785
ANLN	NEK2	9606.ENSP00000265748	9606.ENSP00000355966	0	0	0	0	0.484	0.292	0	0.463	0.787
ANLN	CDCA8	9606.ENSP00000265748	9606.ENSP00000362146	0	0	0	0	0.479	0.292	0	0.475	0.789
ANLN	BUB1B	9606.ENSP00000265748	9606.ENSP00000287598	0	0	0	0	0.693	0	0	0.376	0.800
ANLN	MELK	9606.ENSP00000265748	9606.ENSP00000298048	0	0	0	0	0.587	0	0	0.608	0.831
ANLN	CENPF	9606.ENSP00000265748	9606.ENSP00000355922	0	0	0	0	0.578	0.292	0	0.515	0.842
ANLN	DEPDC1	9606.ENSP00000265748	9606.ENSP00000412292	0	0	0	0	0.774	0	0	0.353	0.847
ANLN	TOP2A	9606.ENSP00000265748	9606.ENSP00000411532	0	0	0	0	0.613	0.292	0	0.533	0.861
ANLN	HMMR	9606.ENSP00000265748	9606.ENSP00000377492	0	0	0	0	0.764	0	0	0.513	0.880
ANLN	ASPM	9606.ENSP00000265748	9606.ENSP00000356379	0	0	0	0	0.750	0.292	0	0.480	0.900
ANLN	TPX2	9606.ENSP00000265748	9606.ENSP00000300403	0	0	0	0	0.774	0	0	0.673	0.923
ANLN	CEP55	9606.ENSP00000265748	9606.ENSP00000360540	0	0	0	0	0.778	0.292	0	0.592	0.930
ANLN	KIF20A	9606.ENSP00000265748	9606.ENSP00000378356	0	0	0	0	0.823	0.328	0	0.607	0.949
ANOS1	ARSL	9606.ENSP00000262648	9606.ENSP00000500220	0	0.017	0	0	0.049	0	0	0.697	0.700
ANOS1	FGF2	9606.ENSP00000262648	9606.ENSP00000264498	0	0	0	0	0.042	0.405	0.500	0.323	0.781
ANOS1	PROK2	9606.ENSP00000262648	9606.ENSP00000295619	0	0	0	0	0	0	0	0.945	0.945
ANXA1	CDH1	9606.ENSP00000366109	9606.ENSP00000261769	0	0	0	0	0	0.080	0	0.767	0.776
ANXA1	EGFR	9606.ENSP00000366109	9606.ENSP00000275493	0	0	0	0	0.072	0.505	0	0.604	0.802
ANXA1	CXCL8	9606.ENSP00000366109	9606.ENSP00000306512	0	0	0	0	0.199	0	0.500	0.606	0.828
ANXA1	SOX2	9606.ENSP00000366109	9606.ENSP00000323588	0	0	0	0	0	0.420	0	0.507	0.701
ANXA1	ANXA2	9606.ENSP00000366109	9606.ENSP00000346032	0	0	0.072	0.936	0.868	0.097	0.800	0.610	0.989
ANXA1	PLA2G4A	9606.ENSP00000366109	9606.ENSP00000356436	0	0	0	0	0.138	0.510	0	0.593	0.813
ANXA1	S100A10	9606.ENSP00000366109	9606.ENSP00000357801	0	0	0	0	0.661	0.101	0	0.930	0.977
ANXA1	FPR2	9606.ENSP00000366109	9606.ENSP00000468897	0	0	0	0	0.043	0	0.500	0.999	0.999
ANXA2	EGFR	9606.ENSP00000346032	9606.ENSP00000275493	0	0	0	0	0.083	0.544	0	0.908	0.958
ANXA2	KCNK3	9606.ENSP00000346032	9606.ENSP00000306275	0	0	0	0	0	0	0	0.737	0.737
ANXA2	CAV1	9606.ENSP00000346032	9606.ENSP00000339191	0	0	0	0	0.207	0	0	0.906	0.922
ANXA2	MYC	9606.ENSP00000346032	9606.ENSP00000478887	0	0	0	0	0.085	0.422	0	0.915	0.951
ANXA2	S100A10	9606.ENSP00000346032	9606.ENSP00000357801	0	0	0	0	0.826	0.987	0.900	0.999	0.999
AOC1	INMT	9606.ENSP00000411613	9606.ENSP00000013222	0	0	0	0	0	0	0.900	0.156	0.912
AOC3	CD69	9606.ENSP00000312326	9606.ENSP00000228434	0	0	0	0	0.044	0	0	0.769	0.769
AOC3	FCGR3B	9606.ENSP00000312326	9606.ENSP00000433642	0	0	0	0	0.063	0	0	0.790	0.794
AOC3	CD19	9606.ENSP00000312326	9606.ENSP00000313419	0	0	0	0	0.043	0	0	0.795	0.795
AOC3	FCGR3A	9606.ENSP00000312326	9606.ENSP00000356946	0	0	0	0	0.068	0	0	0.790	0.795
AOX1	UGT2B4	9606.ENSP00000363832	9606.ENSP00000305221	0	0.004	0	0	0.062	0	0.907	0.339	0.937
AOX1	HSD17B6	9606.ENSP00000363832	9606.ENSP00000451406	0	0	0	0	0.062	0	0.900	0.202	0.918
APC	LRRK2	9606.ENSP00000257430	9606.ENSP00000298910	0	0	0	0	0.054	0.097	0.720	0.062	0.745
APC	CDH1	9606.ENSP00000257430	9606.ENSP00000261769	0	0	0	0	0	0	0.720	0.726	0.920
ARC	EGR1	9606.ENSP00000349022	9606.ENSP00000239938	0	0	0	0	0.222	0.050	0.529	0.622	0.851
ARC	FOSB	9606.ENSP00000349022	9606.ENSP00000245919	0	0	0	0	0.278	0.045	0.500	0.295	0.725
ARC	EGR3	9606.ENSP00000349022	9606.ENSP00000318057	0	0	0	0	0.257	0.050	0.529	0.262	0.722
ARC	SH3GL3	9606.ENSP00000349022	9606.ENSP00000320092	0	0	0	0	0.064	0	0.800	0.885	0.976
ARC	GRIA1	9606.ENSP00000349022	9606.ENSP00000428994	0	0	0	0	0.056	0	0	0.812	0.814
AREG	HBEGF	9606.ENSP00000379097	9606.ENSP00000230990	0	0	0	0.734	0.186	0	0.400	0.596	0.785
AREG	KRAS	9606.ENSP00000379097	9606.ENSP00000256078	0	0	0	0	0.058	0	0.500	0.543	0.766
AREG	EGF	9606.ENSP00000379097	9606.ENSP00000265171	0	0	0	0	0	0	0.400	0.997	0.998
AREG	ERBB2	9606.ENSP00000379097	9606.ENSP00000269571	0	0	0	0	0	0	0.650	0.888	0.959
AREG	EGFR	9606.ENSP00000379097	9606.ENSP00000275493	0	0	0	0	0	0.777	0.900	0.996	0.999
AREG	FGFR4	9606.ENSP00000379097	9606.ENSP00000292408	0	0	0	0	0.051	0	0.650	0.203	0.712
AREG	MET	9606.ENSP00000379097	9606.ENSP00000317272	0	0	0	0	0.118	0	0.650	0.418	0.804
AREG	TEK	9606.ENSP00000379097	9606.ENSP00000369375	0	0	0	0	0.051	0	0.650	0.192	0.708
ASPA	GAD1	9606.ENSP00000263080	9606.ENSP00000350928	0	0	0	0	0.053	0	0.800	0.138	0.822
ASPM	DLGAP5	9606.ENSP00000356379	9606.ENSP00000247191	0	0	0	0	0.974	0	0	0.799	0.994
ASPM	CCNB1	9606.ENSP00000356379	9606.ENSP00000256442	0	0	0	0	0.838	0	0	0.714	0.952
ASPM	CDCA5	9606.ENSP00000356379	9606.ENSP00000275517	0	0	0	0	0.583	0	0	0.418	0.746
ASPM	BUB1B	9606.ENSP00000356379	9606.ENSP00000287598	0	0	0	0	0.928	0.111	0	0.628	0.974
ASPM	CCNB2	9606.ENSP00000356379	9606.ENSP00000288207	0	0	0	0	0.840	0	0	0.709	0.951
ASPM	MELK	9606.ENSP00000356379	9606.ENSP00000298048	0	0	0	0	0.818	0	0	0.715	0.946
ASPM	PCLAF	9606.ENSP00000356379	9606.ENSP00000300035	0	0	0	0	0.756	0	0	0.641	0.909
ASPM	TPX2	9606.ENSP00000356379	9606.ENSP00000300403	0	0	0	0	0.827	0	0	0.717	0.949
ASPM	BIRC5	9606.ENSP00000356379	9606.ENSP00000301633	0	0	0	0	0.748	0	0	0.540	0.879
ASPM	TYMS	9606.ENSP00000356379	9606.ENSP00000315644	0	0	0	0	0.520	0	0	0.522	0.760
ASPM	UBE2C	9606.ENSP00000356379	9606.ENSP00000348838	0	0	0	0	0.835	0	0	0.673	0.943
ASPM	RRM2	9606.ENSP00000356379	9606.ENSP00000353770	0	0	0	0	0.626	0	0	0.627	0.854
ASPM	EXO1	9606.ENSP00000356379	9606.ENSP00000355506	0	0	0	0	0.792	0	0	0.295	0.848
ASPM	CENPF	9606.ENSP00000356379	9606.ENSP00000355922	0	0	0	0	0.938	0	0	0.802	0.987
ASPM	NEK2	9606.ENSP00000356379	9606.ENSP00000355966	0	0	0	0	0.837	0	0	0.507	0.916
ASPM	CDC45	9606.ENSP00000356379	9606.ENSP00000405726	0	0	0	0	0.599	0	0	0.290	0.703
ASPM	TK1	9606.ENSP00000356379	9606.ENSP00000468425	0	0	0	0	0.430	0	0	0.601	0.763
ASPM	ZWINT	9606.ENSP00000356379	9606.ENSP00000363055	0	0	0	0	0.527	0	0	0.632	0.818
ASPM	UBE2T	9606.ENSP00000356379	9606.ENSP00000494957	0	0	0	0	0.780	0	0	0.246	0.827
ASPM	DEPDC1	9606.ENSP00000356379	9606.ENSP00000412292	0	0	0	0	0.805	0	0	0.318	0.861
ASPM	HMMR	9606.ENSP00000356379	9606.ENSP00000377492	0	0	0	0	0.809	0.043	0	0.640	0.928
ASPM	HJURP	9606.ENSP00000356379	9606.ENSP00000414109	0	0	0	0	0.855	0	0	0.545	0.931
ASPM	NUSAP1	9606.ENSP00000356379	9606.ENSP00000499238	0	0	0	0	0.852	0	0	0.611	0.940
ASPM	CCNA2	9606.ENSP00000356379	9606.ENSP00000481380	0	0	0	0	0.865	0	0	0.603	0.944
ASPM	CEP55	9606.ENSP00000356379	9606.ENSP00000360540	0	0	0	0	0.842	0	0	0.700	0.950
ASPM	CDCA8	9606.ENSP00000356379	9606.ENSP00000362146	0	0	0	0	0.908	0	0	0.480	0.950
ASPM	KIF4A	9606.ENSP00000356379	9606.ENSP00000363524	0	0	0	0	0.900	0	0	0.536	0.952
ASPM	TTK	9606.ENSP00000356379	9606.ENSP00000358813	0	0	0	0	0.912	0	0	0.530	0.957
ASPM	CDC20	9606.ENSP00000356379	9606.ENSP00000361540	0	0	0	0	0.900	0.111	0	0.715	0.972
ASPM	KIF20A	9606.ENSP00000356379	9606.ENSP00000378356	0	0	0	0	0.900	0.048	0	0.765	0.975
ASPM	TOP2A	9606.ENSP00000356379	9606.ENSP00000411532	0	0	0	0	0.983	0	0	0.804	0.996
ATF3	PPP1R15A	9606.ENSP00000344352	9606.ENSP00000200453	0	0	0	0	0.495	0	0	0.803	0.896
ATF3	GADD45B	9606.ENSP00000344352	9606.ENSP00000215631	0	0	0	0	0.445	0	0	0.697	0.824
ATF3	EGR1	9606.ENSP00000344352	9606.ENSP00000239938	0	0	0	0	0.381	0.066	0	0.798	0.873
ATF3	FOSB	9606.ENSP00000344352	9606.ENSP00000245919	0	0	0	0.778	0.460	0	0	0.895	0.941
ATF3	EGR3	9606.ENSP00000344352	9606.ENSP00000318057	0	0	0	0	0.211	0.066	0	0.639	0.711
ATF3	KLF6	9606.ENSP00000344352	9606.ENSP00000419923	0	0	0	0	0.303	0.066	0	0.605	0.721
ATF3	MYC	9606.ENSP00000344352	9606.ENSP00000478887	0	0	0	0	0.070	0.128	0	0.702	0.737
ATF3	NR4A2	9606.ENSP00000344352	9606.ENSP00000344479	0	0	0	0	0.316	0.068	0	0.639	0.750
ATF3	NR4A1	9606.ENSP00000344352	9606.ENSP00000440864	0	0	0	0	0.503	0.068	0	0.548	0.772
ATF3	IL6	9606.ENSP00000344352	9606.ENSP00000385675	0	0	0	0	0.233	0	0	0.724	0.779
ATF3	CEBPG	9606.ENSP00000344352	9606.ENSP00000466022	0	0	0	0	0.101	0.636	0	0.532	0.834
ATF3	MAFF	9606.ENSP00000344352	9606.ENSP00000442060	0	0	0	0	0.503	0.281	0	0.661	0.868
ATP1A2	SCN1A	9606.ENSP00000354490	9606.ENSP00000303540	0	0	0	0	0.138	0.094	0	0.913	0.926
ATP1A2	FXYD1	9606.ENSP00000354490	9606.ENSP00000481244	0	0	0	0	0.210	0.065	0.900	0.366	0.946
B3GNT3	FUT2	9606.ENSP00000321874	9606.ENSP00000387498	0	0	0	0	0.096	0	0.900	0.491	0.950
BDNF	SLC6A4	9606.ENSP00000414303	9606.ENSP00000261707	0	0	0	0	0	0	0	0.922	0.922
BDNF	FGF2	9606.ENSP00000414303	9606.ENSP00000264498	0	0	0	0	0.174	0	0	0.814	0.840
BDNF	EGF	9606.ENSP00000414303	9606.ENSP00000265171	0	0	0	0	0	0	0	0.798	0.798
BDNF	ERBB2	9606.ENSP00000414303	9606.ENSP00000269571	0	0	0	0	0	0	0.650	0.305	0.746
BDNF	EGFR	9606.ENSP00000414303	9606.ENSP00000275493	0	0	0	0	0.107	0	0.650	0.639	0.877
BDNF	FGFR4	9606.ENSP00000414303	9606.ENSP00000292408	0	0	0	0	0	0	0.650	0.201	0.708
BDNF	CXCL8	9606.ENSP00000414303	9606.ENSP00000306512	0	0	0	0	0.043	0	0	0.713	0.713
BDNF	MET	9606.ENSP00000414303	9606.ENSP00000317272	0	0	0	0	0.072	0.044	0.650	0.270	0.742
BDNF	TAC1	9606.ENSP00000414303	9606.ENSP00000321106	0	0	0	0	0.047	0	0	0.839	0.840
BDNF	NTRK3	9606.ENSP00000414303	9606.ENSP00000354207	0	0	0	0	0.065	0.065	0	0.999	0.999
BDNF	MMP9	9606.ENSP00000414303	9606.ENSP00000361405	0	0	0	0	0	0	0	0.740	0.740
BDNF	TEK	9606.ENSP00000414303	9606.ENSP00000369375	0	0	0	0	0.062	0	0.650	0.271	0.739
BDNF	IL6	9606.ENSP00000414303	9606.ENSP00000385675	0	0	0	0	0.050	0	0	0.844	0.846
BDNF	GDNF	9606.ENSP00000414303	9606.ENSP00000409007	0	0	0	0	0.048	0	0	0.963	0.963
BDNF	SNCA	9606.ENSP00000414303	9606.ENSP00000500990	0	0	0	0	0.045	0	0	0.797	0.798
BDNF	NRN1	9606.ENSP00000414303	9606.ENSP00000480483	0	0	0	0	0.042	0	0	0.825	0.825
BDNF	GRIA1	9606.ENSP00000414303	9606.ENSP00000428994	0	0	0	0	0.047	0	0	0.827	0.828
BIRC5	DLGAP5	9606.ENSP00000301633	9606.ENSP00000247191	0	0	0	0	0.907	0	0	0.661	0.967
BIRC5	CCNB1	9606.ENSP00000301633	9606.ENSP00000256442	0	0	0	0	0.906	0.098	0.400	0.884	0.993
BIRC5	DEPDC1B	9606.ENSP00000301633	9606.ENSP00000265036	0	0	0	0	0.528	0.292	0	0.200	0.709
BIRC5	ERBB2	9606.ENSP00000301633	9606.ENSP00000269571	0	0	0	0	0	0.130	0	0.669	0.700
BIRC5	CDCA5	9606.ENSP00000301633	9606.ENSP00000275517	0	0	0	0	0.779	0	0	0.750	0.942
BIRC5	BUB1B	9606.ENSP00000301633	9606.ENSP00000287598	0	0	0	0	0.847	0.095	0.500	0.834	0.987
BIRC5	CCNB2	9606.ENSP00000301633	9606.ENSP00000288207	0	0	0	0	0.905	0.098	0.400	0.892	0.993
BIRC5	MELK	9606.ENSP00000301633	9606.ENSP00000298048	0	0	0	0	0.885	0.091	0	0.697	0.965
BIRC5	PCLAF	9606.ENSP00000301633	9606.ENSP00000300035	0	0	0	0	0.820	0	0	0.629	0.930
BIRC5	TPX2	9606.ENSP00000301633	9606.ENSP00000300403	0	0	0	0	0.852	0.102	0	0.672	0.952
