"","ensembl_gene_id","hgnc_symbol","entrezgene_id","chromosome_name","start_position","end_position","strand","ID"
"73","ENSG00000182704","TSKU",25987,"11",76782251,76798153,1,"5058_at"
"74","ENSG00000295708","",NA,"11",76798884,76799584,-1,"5058_at"
"75","ENSG00000261578","",NA,"11",76800364,76804555,1,"5058_at"
"76","ENSG00000078124","ACER3",55331,"11",76860859,77026797,1,"5058_at"
"77","ENSG00000183111","ARHGEF37",389337,"5",149551947,149634968,1,"815_at"
"78","ENSG00000197535","MYO5A",4644,"15",52307281,52529132,-1,"440279_at"
"79","ENSG00000298318","",NA,"15",52417690,52510306,1,"440279_at"
"80","ENSG00000231169","EEF1B2P1",NA,"15",52505191,52505862,1,"440279_at"
"81","ENSG00000128989","ARPP19",10776,"15",52547045,52569883,-1,"440279_at"
"82","ENSG00000260618","",NA,"15",52577842,52598709,1,"440279_at"
"83","ENSG00000047346","ATOSA",56204,"15",52581317,52709817,-1,"440279_at"
"84","ENSG00000259935","",NA,"15",52648634,52649866,-1,"440279_at"
"85","ENSG00000287500","",NA,"15",52679474,52690077,1,"440279_at"
"86","ENSG00000054654","SYNE2",23224,"14",63761899,64226433,1,"9495_at"
"87","ENSG00000100302","RASD2",23551,"22",35540831,35553999,1,"5816_at"
"88","ENSG00000174943","KCTD13",253980,"16",29905012,29926236,-1,"8448_at"
"89","ENSG00000137801","THBS1",7057,"15",39581079,39599466,1,"3706_at"
"90","ENSG00000111802","TDP2",51567,"6",24649979,24666930,-1,"9856_at"
"91","ENSG00000261097","LINC00563",100861554,"13",46275657,46321758,-1,"3356_at"
"92","ENSG00000259905","PWRN1",791114,"15",24101827,24823365,1,"727729_at"
"93","ENSG00000259905","PWRN1",101928840,"15",24101827,24823365,1,"727729_at"
"94","ENSG00000286110","",NA,"15",24558060,24912924,1,"727729_at"
"95","ENSG00000185823","NPAP1",23742,"15",24675775,24683393,1,"727729_at"
"96","ENSG00000185352","HS6ST3",266722,"13",96090107,96839562,1,"266722_at"
"97","ENSG00000130287","NCAN",1463,"19",19211958,19252233,1,"404037_at"
"98","ENSG00000116962","NID1",4811,"1",235975830,236065109,-1,"6262_at"
"99","ENSG00000305077",NA,NA,"2",155363553,155512558,1,"3760_at"
"100","ENSG00000174842","GLMN",11146,"1",92246402,92298987,-1,"253152_at"
"101","ENSG00000122484","RPAP2",79871,"1",92299059,92402056,1,"253152_at"
"102","ENSG00000130363","RSPH3",83861,"6",158970084,159000202,-1,"6993_at"
"103","ENSG00000277149","TYW1B",441250,"7",72558744,72828200,-1,"6804_at"
"104","ENSG00000295492","",NA,"1",40847981,40860864,-1,"9783_at"
"105","ENSG00000179862","CITED4",163732,"1",40861054,40862363,-1,"9783_at"
"106","ENSG00000229528","",NA,"1",40863914,40876670,1,"9783_at"
"107","ENSG00000215039","CD27-AS1",678655,"12",6439001,6452092,-1,"6843_at"
"108","ENSG00000139193","CD27",939,"12",6444955,6451718,1,"6843_at"
"109","ENSG00000187955","COL14A1",7373,"8",120059780,120373573,1,"114569_at"
"110","ENSG00000253796",NA,101927413,"8",108871128,109063417,-1,"340419_at"
"111","ENSG00000310215",NA,NA,"2",101327986,101343963,1,"200407_at"
"112","ENSG00000293852",NA,NA,"5",143739350,143886754,-1,"57528_at"
"113","ENSG00000100385","IL2RB",3560,"22",37118666,37175118,-1,"3761_at"
"114","ENSG00000297387",NA,NA,"10",101139364,101168275,1,"26507_at"
"115","ENSG00000183454","GRIN2A",2903,"16",9753404,10183337,-1,"2903_at"
"116","ENSG00000302675",NA,NA,"1",22288076,22329608,1,"998_at"
"117","ENSG00000137509","PRCP",5547,"11",82822936,82970584,-1,"1740_at"
"118","ENSG00000297387",NA,NA,"10",101139364,101168275,1,"2805_at"
"119","ENSG00000285648",NA,NA,"17",73865818,74040859,-1,"8632_at"
"120","ENSG00000288006",NA,NA,"17",73912190,73931436,1,"8632_at"
"121","ENSG00000093183","SEC22C",9117,"3",42547969,42601080,-1,"7433_at"
"122","ENSG00000123473","STIL",6491,"1",47250139,47314892,-1,"260293_at"
"123","ENSG00000099308","MAST3",23031,"19",18097778,18151692,1,"23031_at"
"124","ENSG00000297168","",NA,"19",18122228,18123280,-1,"23031_at"
"125","ENSG00000235481","UBE2R2-AS1",NA,"9",33732970,33818836,-1,"5646_at"
"126","ENSG00000010438","PRSS3",5646,"9",33750679,33799231,1,"5646_at"
"127","ENSG00000260834",NA,NA,"16",65163472,65235088,-1,"123920_at"
"128","ENSG00000074211","PPP2R2C",5522,"4",6320578,6563600,-1,"5522_at"
"129","ENSG00000259905","PWRN1",791114,"15",24101827,24823365,1,"2558_at"
"130","ENSG00000259905","PWRN1",101928840,"15",24101827,24823365,1,"2558_at"
"131","ENSG00000286110","",NA,"15",24558060,24912924,1,"2558_at"
"132","ENSG00000167925","GHDC",84514,"17",42188799,42194513,-1,"4905_at"
"133","ENSG00000241881",NA,NA,"7",142248530,142288881,1,"2051_at"
"134","ENSG00000077232","DNAJC10",54431,"2",182716255,182794464,1,"5136_at"
"135","ENSG00000232430","RPL31P15",NA,"2",182788098,182788435,1,"5136_at"
"136","ENSG00000121210","TMEM131L",23240,"4",153466346,153636711,1,"55294_at"
"137","ENSG00000079102","RUNX1T1",862,"8",91954972,92103385,-1,"64168_at"
"138","ENSG00000006740","ARHGAP44",9912,"17",12789498,12991643,1,"9912_at"
"139","ENSG00000099812","MISP",126353,"19",751112,764318,1,"5725_at"
"140","ENSG00000091181","IL5RA",3568,"3",3066324,3126613,-1,"152330_at"
"141","ENSG00000168453","HR",55806,"8",22114419,22133384,-1,"9796_at"
"142","ENSG00000103184","SEC14L5",9717,"16",4958330,5019157,1,"9717_at"
"143","ENSG00000302368",NA,NA,"1",35770087,35806944,1,"23154_at"
"144","ENSG00000078328","RBFOX1",54715,"16",5239802,7713340,1,"54715_at"
"145","ENSG00000301273","",NA,"16",7693420,7817270,-1,"54715_at"
"146","ENSG00000172995","ARPP21",10777,"3",35638945,35794496,1,"10777_at"
"147","ENSG00000207625","MIR128-2",406916,"3",35744476,35744559,1,"10777_at"
"148","ENSG00000305283",NA,124905959,"2",191499407,191676312,1,"2744_at"
"149","ENSG00000073464","CLCN4",1183,"X",10156975,10237660,1,"1183_at"
"150","ENSG00000164713","BRI3",25798,"7",98252379,98310441,1,"222865_at"
"151","ENSG00000189108","IL1RAPL2",26280,"X",104566199,105767829,1,"139221_at"
"152","ENSG00000166813","KIF7",374654,"15",89608789,89663086,-1,"9899_at"
"153","ENSG00000288952",NA,NA,"3",12178692,12234307,-1,"6854_at"
"154","ENSG00000275700","AATF",26574,"17",36948925,37056871,1,"3872_at"
"155","ENSG00000287907",NA,NA,"18",68237100,68535279,-1,"147381_at"
"156","ENSG00000130227","XPO7",23039,"8",21919662,22006585,1,"2039_at"
"157","ENSG00000100154","TTC28",23331,"22",27978014,28679840,-1,"10740_at"
"158","ENSG00000224015",NA,NA,"5",132129951,132181241,-1,"134548_at"
"159","ENSG00000133816","MICAL2",9645,"11",12094008,12362140,1,"9645_at"
"160","ENSG00000077254","USP33",23032,"1",77695987,77759852,-1,"26289_at"
"161","ENSG00000232672","ACTG1P21",NA,"1",77773865,77774864,-1,"26289_at"
"162","ENSG00000180488","MIGA1",374986,"1",77779624,77879540,1,"26289_at"
"163","ENSG00000222849","RNA5SP21",NA,"1",77779904,77779999,1,"26289_at"
"164","ENSG00000019485","PRDM11",56981,"11",45095806,45235110,1,"57586_at"
"165","ENSG00000254664","",NA,"11",45213022,45238180,-1,"57586_at"
"166","ENSG00000132932","ATP8A2",51761,"13",25371974,26025851,1,"51761_at"
"167","ENSG00000179057","IGSF22",283284,"11",18704312,18726230,-1,"84867_at"
"168","ENSG00000254966","IGSF22-AS1",NA,"11",18706474,18740568,1,"84867_at"
"169","ENSG00000269825","",122539214,"19",52594060,52690559,-1,"6543_at"
"170","ENSG00000290073","",NA,"19",52601259,52633359,1,"6543_at"
"171","ENSG00000167766","ZNF83",55769,"19",52612377,52638388,-1,"6543_at"
"172","ENSG00000234323","LINC01505",100996590,"9",105993247,106771335,1,"19_at"
"173","ENSG00000234323","LINC01505",107987108,"9",105993247,106771335,1,"19_at"
"174","ENSG00000229297","",NA,"9",106584142,106591952,-1,"19_at"
"175","ENSG00000280739","EIF1B-AS1",285266,"3",40061110,40453341,-1,"956_at"
"176","ENSG00000280739","EIF1B-AS1",440952,"3",40061110,40453341,-1,"956_at"
"177","ENSG00000280739","ENTPD3-AS1",285266,"3",40061110,40453341,-1,"956_at"
"178","ENSG00000280739","ENTPD3-AS1",440952,"3",40061110,40453341,-1,"956_at"
"179","ENSG00000228022","HCG20",105375013,"6",30743790,30792250,1,"170954_at"
"180","ENSG00000228063","LYPLAL1-DT",643723,"1",218894466,219173961,-1,"79762_at"
"181","ENSG00000260412","",NA,"9",27937617,27944497,-1,"158038_at"
"182","ENSG00000174482","LINGO2",158038,"9",27937617,29213601,-1,"158038_at"
"183","ENSG00000185049","NELFA",7469,"4",1982717,2041903,-1,"339983_at"
"184","ENSG00000116991","SIPA1L2",57568,"1",232397965,232630571,-1,"148641_at"
"185","ENSG00000090097","PCBP4",57060,"3",51957454,51974016,-1,"118442_at"
"186","ENSG00000272762","",NA,"3",51961212,51974031,-1,"118442_at"
"187","ENSG00000111218","PRMT8",56341,"12",3381349,3593973,1,"56341_at"
"188","ENSG00000148935","GAS2",2620,"11",22625509,22813001,1,"258010_at"
"189","ENSG00000166012","TAF1D",79101,"11",93729948,93784391,-1,"10888_at"
"190","ENSG00000182919","C11orf54",28970,"11",93741591,93764749,1,"10888_at"
"191","ENSG00000284057","",NA,"11",93741664,93812378,1,"10888_at"
"192","ENSG00000145012","LPP",4026,"3",188153284,188890671,1,"6750_at"
"193","ENSG00000176834","VSIG10",54621,"12",118063593,118136026,-1,"84530_at"
"194","ENSG00000068383","INPP5A",3632,"10",132537787,132783480,1,"256536_at"
"195","ENSG00000130962","PRRG1",5638,"X",37349309,37492702,1,"7504_at"
"196","ENSG00000250349","",NA,"X",37349330,38687674,1,"7504_at"
"197","ENSG00000158887","MPZ",4359,"1",161304735,161309968,-1,"5999_at"
"198","ENSG00000105963","ADAP1",11033,"7",897900,955407,-1,"11033_at"
"199","ENSG00000240230","COX19",90639,"7",898778,975549,-1,"11033_at"
"200","ENSG00000149646","CNBD2",140894,"20",35954564,36030700,1,"128434_at"
"201","ENSG00000253535","ADAM7-AS1",NA,"8",24169001,24912073,-1,"4741_at"
"202","ENSG00000224943","LINC02819",NA,"1",159466321,159558377,1,"654790_at"
"203","ENSG00000289484","",NA,"1",159501664,159581517,-1,"654790_at"
"204","ENSG00000100084","HIRA",7290,"22",19330698,19447450,-1,"5297_at"
"205","ENSG00000242259","C22orf39",128977,"22",19351368,19447711,-1,"5297_at"
"206","ENSG00000173681","BCLAF3",256643,"X",19912860,19991061,-1,"256714_at"
"207","ENSG00000229066",NA,NA,"2",175257250,175463180,1,"1123_at"
"208","ENSG00000149596","JPH2",57158,"20",44106590,44187188,-1,"57468_at"
"209","ENSG00000146151","HMGCLL1",54511,"6",55434373,55579197,-1,"54511_at"
"210","ENSG00000296793","",NA,"6",55451657,55490187,1,"54511_at"
"211","ENSG00000172602","RND1",27289,"12",48857145,48865870,-1,"51474_at"
"212","ENSG00000300944","",NA,"12",48882416,48883360,-1,"51474_at"
"213","ENSG00000309720","",NA,"12",48890776,48903996,1,"51474_at"
"214","ENSG00000199394","RNU6-600P",NA,"12",48892130,48892228,-1,"51474_at"
"215","ENSG00000239617","RPL32P27",NA,"12",48903418,48903813,-1,"51474_at"
"216","ENSG00000272822","",NA,"12",48903503,48957365,-1,"51474_at"
"217","ENSG00000139537","CCDC65",85478,"12",48904110,48931840,1,"51474_at"
"218","ENSG00000134285","FKBP11",51303,"12",48921518,48926474,-1,"51474_at"
"219","ENSG00000134287","ARF3",377,"12",48935723,48957487,-1,"51474_at"
"220","ENSG00000068308","OTUD5",55593,"X",48922024,48958386,-1,"6855_at"
"221","ENSG00000140623","SEPTIN12",124404,"16",4777606,4788398,-1,"79641_at"
"222","ENSG00000285952","",NA,"16",4777939,4801423,-1,"79641_at"
"223","ENSG00000167930","FAM234A",83986,"16",234521,272183,1,"398_at"
"224","ENSG00000076344","RGS11",8786,"16",268301,275980,-1,"398_at"
"225","ENSG00000286901","",NA,"16",268727,282084,1,"398_at"
"226","ENSG00000156170","NDUFAF6",137682,"8",94895533,95116455,1,"54704_at"
"227","ENSG00000142609","CFAP74",85452,"1",1921951,2003837,-1,"2563_at"
"228","ENSG00000198964","SGMS1",259230,"10",50305586,50625163,-1,"55753_at"
"229","ENSG00000072182","ASIC4",55515,"2",219514170,219538772,1,"8941_at"
"230","ENSG00000066651","TRMT11",60487,"6",125986479,126203817,1,"135112_at"
"231","ENSG00000213133","PPP1R14BP5",NA,"6",126257921,126258355,-1,"135112_at"
"232","ENSG00000166068","SPRED1",161742,"15",38252836,38357249,1,"56924_at"
"233","ENSG00000071242","RPS6KA2",6196,"6",166409364,166906451,-1,"285800_at"
"234","ENSG00000294646","",NA,"6",166633914,166649096,1,"285800_at"
"235","ENSG00000140945","CDH13",1012,"16",82626965,83800640,1,"9764_at"
"236","ENSG00000261103","",NA,"16",83678043,83717921,-1,"9764_at"
"237","ENSG00000264324","",NA,"2",74211604,74363377,-1,"10797_at"
"238","ENSG00000188687","SLC4A5",57835,"2",74216242,74343416,-1,"10797_at"
"239","ENSG00000158856","DMTN",2039,"8",22048995,22082527,1,"203190_at"
"240","ENSG00000077044","DGKD",8527,"2",233354494,233472104,1,"25791_at"
"241","ENSG00000302812","",NA,"2",233466444,233472197,-1,"25791_at"
"242","ENSG00000085982","USP40",55230,"2",233475526,233566782,-1,"25791_at"
"243","ENSG00000274002",NA,NA,"14",23578017,23620014,1,"9362_at"
"244","ENSG00000132359","RAP1GAP2",23108,"17",2755705,3037741,1,"23108_at"
"245","ENSG00000133083","DCLK1",9201,"13",35768652,36131382,-1,"8900_at"
"246","ENSG00000126246","IGFLR1",79713,"19",35738801,35742453,-1,"9745_at"
"247","ENSG00000267120","",NA,"19",35739252,35745432,-1,"9745_at"
"248","ENSG00000294474",NA,NA,"2",208915348,209301691,-1,"5746_at"
"249","ENSG00000172260","NEGR1",257194,"1",71395943,72282539,-1,"257194_at"
"250","ENSG00000104972","LILRB1",10859,"19",54617158,54638022,1,"57030_at"
"251","ENSG00000151952","TMEM132D",121256,"12",129071725,129904025,-1,"23504_at"
"252","ENSG00000151090","THRB",7068,"3",24117153,24495756,-1,"7068_at"
"253","ENSG00000289130","THRB-AS2",NA,"3",24137810,24324470,1,"7068_at"
"254","ENSG00000150995","ITPR1",3708,"3",4493345,4847506,1,"3708_at"
"255","ENSG00000235978","",124906209,"3",4764242,4887293,-1,"3708_at"
"256","ENSG00000310032",NA,NA,"2",73268881,73351167,1,"150726_at"
"257","ENSG00000105219","CCNP",79935,"19",40222208,40226697,-1,"6324_at"
"258","ENSG00000177990","DPY19L2",283417,"12",63558913,63668939,-1,"23329_at"
"259","ENSG00000164062","APEH",327,"3",49674014,49683971,1,"8927_at"
"260","ENSG00000308290","",NA,"16",31390825,31404705,-1,"7041_at"
"261","ENSG00000156886","ITGAD",3681,"16",31393335,31426505,1,"7041_at"
"262","ENSG00000145990","GFOD1",54438,"6",13357830,13487662,-1,"54438_at"
"263","ENSG00000110427","KIAA1549L",25758,"11",33376108,33674102,1,"120196_at"
"264","ENSG00000163630","SYNPR",132204,"3",63228315,63616924,1,"132204_at"
"265","ENSG00000241359","SYNPR-AS1",100874016,"3",63421300,63645637,-1,"132204_at"
"266","ENSG00000162591","MEGF6",1953,"1",3487951,3611508,-1,"127262_at"
"267","ENSG00000168297","PXK",54899,"3",58332880,58426127,1,"54899_at"
"268","ENSG00000275607","WDR53P1",NA,"3",58379217,58379525,-1,"54899_at"
"269","ENSG00000250447","LINC02105",105378966,"5",53761035,53819722,-1,"8988_at"
"270","ENSG00000110002","VWA5A",4013,"11",124115404,124147721,1,"4900_at"
"271","ENSG00000138639","ARHGAP24",83478,"4",85475150,86002668,1,"1040_at"
"272","ENSG00000174469","CNTNAP2",26047,"7",146116002,148420998,1,"26047_at"
"273","ENSG00000145075",NA,NA,"3",180614008,180870933,-1,"86_at"
"274","ENSG00000285336",NA,101928882,"3",180707589,180871005,-1,"86_at"
"275","ENSG00000065923","SLC9A7",84679,"X",46599251,46759118,-1,"6102_at"
"276","ENSG00000181215","C4orf50",389197,"4",5897373,6200555,-1,"152789_at"
"277","ENSG00000152969","JAKMIP1",152789,"4",6026199,6200591,-1,"152789_at"
"278","ENSG00000214960","CRPPA",729920,"7",16087525,16502504,-1,"25928_at"
"279","ENSG00000272537","",105375168,"7",16420699,16471375,1,"25928_at"
"280","ENSG00000171243","SOSTDC1",25928,"7",16461481,16530580,-1,"25928_at"
"281","ENSG00000154027","AK5",26289,"1",77282019,77559966,1,"81849_at"
"282","ENSG00000166960","CCDC178",374864,"18",32937402,33441101,-1,"56853_at"
"283","ENSG00000256659","LINC02368",101927694,"12",128116730,128123103,1,"121256_at"
"284","ENSG00000100154","TTC28",23331,"22",27978014,28679840,-1,"4744_at"
"285","ENSG00000157542","KCNJ6",3763,"21",37607373,38121345,-1,"3763_at"
"286","ENSG00000117394","SLC2A1",6513,"1",42925353,42958893,-1,"4904_at"
"287","ENSG00000213619","NDUFS3",4722,"11",47565336,47584562,1,"114900_at"
"288","ENSG00000110536","PTPMT1",114971,"11",47565430,47573461,1,"114900_at"
"289","ENSG00000089775","ZBTB25",7597,"14",64449106,64505213,-1,"376267_at"
"290","ENSG00000130309","COLGALT1",79709,"19",17555649,17583162,1,"23025_at"
"291","ENSG00000228566",NA,124902438,"10",63664657,64693794,1,"22891_at"
"292","ENSG00000228566",NA,124902439,"10",63664657,64693794,1,"22891_at"
"293","ENSG00000184454","NCMAP",400746,"1",24556087,24609328,1,"90529_at"
"294","ENSG00000165973","NELL1",4745,"11",20669551,21575686,1,"4745_at"
"295","ENSG00000298937",NA,NA,"4",167882577,167896215,-1,"50859_at"
"296","ENSG00000206077","ZDHHC11B",653082,"5",710355,784729,-1,"11076_at"
"297","ENSG00000157087","ATP2B2",491,"3",10324023,10708007,-1,"491_at"
"298","ENSG00000283290","",NA,"14",24352057,24352157,-1,"29091_at"
"299","ENSG00000100968","NFATC4",4776,"14",24365673,24379604,1,"29091_at"
"300","ENSG00000143322","ABL2",27,"1",179099330,179229684,-1,"9213_at"
"301","ENSG00000129521","EGLN3",112399,"14",33924227,34462774,-1,"11177_at"
"302","ENSG00000136237","RAPGEF5",9771,"7",22118236,22357154,-1,"9771_at"
"303","ENSG00000187840","EIF4EBP1",1978,"8",38030534,38060365,1,"1978_at"
"304","ENSG00000302260",NA,NA,"X",75523237,75669365,1,"57692_at"
"305","ENSG00000275793","RIMBP3",85376,"22",18605815,18611919,-1,"65078_at"
"306","ENSG00000293508","POLR1HASP",80862,"6",29862624,30067051,-1,"3105_at"
"307","ENSG00000157827","FMNL2",114793,"2",152335174,152649826,1,"785_at"
"308","ENSG00000293610",NA,NA,"9",73594988,74088787,-1,"9615_at"
"309","ENSG00000303235",NA,105376086,"9",73909353,74083612,1,"9615_at"
"310","ENSG00000230537","LINC02937",105379829,"9",90927338,91213102,-1,"349236_at"
"311","ENSG00000235641","LINC00484",100129347,"9",91118361,91183601,1,"349236_at"
"312","ENSG00000149091","DGKZ",8525,"11",46332905,46380554,1,"8525_at"
"313","ENSG00000134539","KLRD1",3824,"12",10226058,10329608,1,"23710_at"
"314","ENSG00000309652","",NA,"12",10261282,10272663,-1,"23710_at"
"315","ENSG00000184305","CCSER1",401145,"4",90127394,91605295,1,"6622_at"
"316","ENSG00000100266","PACSIN2",11252,"22",42835412,43015149,-1,"85352_at"
"317","ENSG00000011638","LDAF1",57146,"16",21158377,21180616,1,"1428_at"
"318","ENSG00000196405","EVL",51466,"14",99971449,100144236,1,"57596_at"
"319","ENSG00000258560","",NA,"14",100052803,100074878,-1,"57596_at"
"320","ENSG00000235024","CDK5R2-AS1",101928537,"2",218899739,218962135,-1,"25953_at"
"321","ENSG00000288898","",124906119,"2",218908822,218943574,1,"25953_at"
"322","ENSG00000156650","KAT6B",23522,"10",74824927,75032624,1,"5532_at"
"323","ENSG00000111907","TPD52L1",7164,"6",125119049,125264407,1,"154215_at"
"324","ENSG00000310237","",100126584,"6",125182932,125197834,-1,"154215_at"
"325","ENSG00000142002","DPP9",91039,"19",4674341,4724673,-1,"284424_at"
"326","ENSG00000250917","",NA,"20",34234840,34281173,-1,"2036_at"
"327","ENSG00000101444","AHCY",191,"20",34280268,34311802,-1,"2036_at"
"328","ENSG00000272945","",NA,"20",34281632,34286466,-1,"2036_at"
"329","ENSG00000148358","GPR107",57720,"9",130053426,130140169,1,"1759_at"
"330","ENSG00000185760","KCNQ5",56479,"6",72621792,73198853,1,"22999_at"
"331","ENSG00000149639","MTCL2",140710,"20",36777447,36863538,-1,"140679_at"
"332","ENSG00000303122","",NA,"3",168990131,169080099,-1,"5274_at"
"333","ENSG00000241383","LINC01997",NA,"3",169003013,169038416,1,"5274_at"
"334","ENSG00000229630","LINC01264",104266963,"10",42979015,43026380,-1,"221002_at"
"335","ENSG00000213904","LIPE-AS1",100996307,"19",42387222,42796422,1,"163255_at"
"336","ENSG00000238092","CEACAMP6",NA,"19",42781206,42786595,-1,"163255_at"
"337","ENSG00000051596","THOC3",84321,"5",175917873,176034680,-1,"6620_at"
"338","ENSG00000250801","THOC3-AS1",NA,"5",175972123,175987670,1,"6620_at"
"339","ENSG00000254404",NA,NA,"11",62213427,62260549,-1,"2785_at"
"340","ENSG00000198121","LPAR1",1902,"9",110873263,111038470,-1,"23732_at"
"341","ENSG00000302567",NA,NA,"14",41345220,41490089,1,"145581_at"
