ID	adj.P.Val	P.Value	t	B	logFC	ORF	Chr	Chr.Strand	Chr.From	Chr.To
55079_at	2.03e-39	2.78e-42	16.2084361	85.39912	2.87323983	55079	3	-	62332308	62330437
400745_at	3.44e-39	4.91e-42	16.1411072	84.83648	2.76202688	400745	1	-	20919383	20918883
125113_at	4.92e-38	7.30e-41	15.8216047	82.16773	4.50076026	125113	17	-	36066294	36066043
27165_at	5.37e-38	8.28e-41	15.8066875	82.04319	2.76119177	27165	12	-	55153347	55151165
399947_at	1.11e-37	1.77e-40	15.7166098	81.2913	3.78231761	399947	11	+	108801070	108801480
284615_at	1.81e-37	3.00e-40	15.6541908	80.77043	2.57622952	284615	1	+	144186508	144186962
57172_at	2.06e-37	3.53e-40	15.6347326	80.60808	2.9268522	57172	1	+	207852102	207853793
3787_at	2.96e-37	5.24e-40	15.5879606	80.21789	3.26073129	3787	20	-	43154915	43154393
9951_at	1.34e-36	2.45e-39	15.4050927	78.69316	3.62252233	9951	16	+	26055986	26056442
151835_at	1.56e-36	2.94e-39	15.3834753	78.51301	2.09442924	151835	3	+	9743809	9746478
400120_at	1.73e-36	3.35e-39	15.3678698	78.38297	3.89370489	400120	13	+	36169534	36169554
23109_at	9.39e-36	1.87e-38	15.1633446	76.67976	3.13555845	23109	12	-	47675761	47675242
57576_at	2.73e-35	5.77e-38	15.029744	75.56835	1.4021987	57576	1	-	20863662	20863191
1010_at	2.73e-35	5.77e-38	15.0296118	75.56725	3.21415439	1010	5	-	21787441	21786955
51361_at	3.44e-35	7.45e-38	14.99922	75.31456	1.59640816	51361	1	+	60103427	60111194
148808_at	1.23e-34	2.74e-37	14.8442735	74.02718	3.31342915	148808	1	+	203836443	203837055
26038_at	1.69e-34	3.87e-37	14.8032407	73.68651	2.45295934	26038	1	-	6089372	6084486
63982_at	2.39e-34	5.58e-37	14.7594316	73.32292	4.59018	63982	11	+	26640901	26641333
8997_at	3.39e-34	8.11e-37	14.7148908	72.95339	2.29994824	8997	3	+	125720806	125922302
1128_at	3.47e-34	8.51e-37	14.7091867	72.90608	3.3871771	1128	11	-	62433229	62432759
6327_at	4.37e-34	1.10e-36	14.6788732	72.65468	2.97085317	6327	11	-	117544568	117538756
10645_at	7.44e-34	1.91e-36	14.6126494	72.10569	2.11042264	10645	12	-	120166228	120160057
5650_at	1.14e-33	2.98e-36	14.5594626	71.66502	1.36806443	5650	19	-	56175389	56171586
195814_at	2.85e-33	7.65e-36	14.4470356	70.73426	1.89663953	195814	8	-	57381827	57376461
10739_at	9.42e-33	2.58e-35	14.3016504	69.53221	1.46307003	10739	22	-	30916877	30916539
1812_at	9.98e-33	2.79e-35	14.2922116	69.45423	1.29883191	1812	5	-	174801219	174800708
492_at	1.01e-32	2.88e-35	14.2885215	69.42375	2.09792435	492	X	+	152488260	152501528
9478_at	1.24e-32	3.60e-35	14.261525	69.20078	3.96611123	9478	12	+	119582064	119589312
5950_at	1.24e-32	3.67e-35	14.2593945	69.18318	3.49058952	5950	10	-	95350220	95341754
55359_at	4.04e-32	1.22e-34	14.1152129	67.99351	1.81856141	55359	12	-	10663488	10662805
29953_at	4.88e-32	1.50e-34	14.0903133	67.78826	4.01055401	29953	12	+	71345171	71345560
5923_at	6.46e-32	2.03e-34	14.0545276	67.49338	2.53427554	5923	15	-	77064464	77041432
54033_at	7.60e-32	2.43e-34	14.0328261	67.31462	2.12996152	54033	21	+	14521430	14521858
26034_at	4.54e-31	1.48e-33	13.8157268	65.52905	5.22442707	26034	6	-	154517759	154517464
5058_at	7.21e-31	2.39e-33	13.7578642	65.05401	2.68102937	5058	11	-	76862546	76710752
815_at	1.00e-30	3.37e-33	13.716227	64.71243	2.46423393	815	5	-	149588001	149579296
440279_at	2.10e-30	7.18e-33	13.6249897	63.96463	3.45034372	440279	15	+	52413311	52708033
9495_at	2.28e-30	7.93e-33	13.6130454	63.86681	2.14584587	9495	14	+	64005596	64006132
5816_at	5.51e-30	1.95e-32	13.5043983	62.97781	4.57345514	5816	22	-	35542972	35539689
8448_at	6.90e-30	2.48e-32	13.4751388	62.73865	2.50693378	8448	16	-	29925298	29924786
3765_at	7.14e-30	2.61e-32	13.4691447	62.68967	1.99603166	3765	1	+	158325252	158325745
3706_at	7.85e-30	2.91e-32	13.4558088	62.58071	2.46269775	3706	15	+	39582472	39582960
84448_at	1.02e-29	3.83e-32	13.4225127	62.30877	1.504533	84448	4	-	8019425	8017986
9856_at	1.15e-29	4.39e-32	13.4061584	62.17526	2.99816716	9856	6	-	24652878	24652397
8437_at	1.23e-29	4.78e-32	13.3956104	62.08916	1.30828343	8437	12	-	112027942	112021729
9607_at	2.16e-29	8.50e-32	13.3258991	61.52054	1.79256059	9607	5	+	71051492	71052530
23125_at	2.28e-29	9.10e-32	13.3176045	61.45293	1.92537728	23125	17	-	4812556	4812017
3356_at	4.23e-29	1.71e-31	13.2408863	60.82801	4.0240915	3356	13	-	46307548	46305600
57644_at	4.32e-29	1.77e-31	13.2365542	60.79274	1.26059782	57644	20	+	33052738	33053844
285780_at	6.61e-29	2.75e-31	13.1832047	60.3587	1.03505232	285780	6	-	6306328	6305861
727729_at	6.87e-29	2.90e-31	13.1768123	60.30672	2.14667602	727729	15	+	24664978	24679623
6861_at	1.46e-28	6.24e-31	13.0837112	59.55034	1.45049876	6861	19	-	60378976	60376397
266722_at	1.74e-28	7.53e-31	13.0606451	59.36314	2.25689082	266722	13	+	96282994	96289694
887_at	2.07e-28	9.09e-31	13.0378074	59.17787	2.59170755	887	11	+	6249432	6249801
404037_at	2.57e-28	1.14e-30	13.009772	58.95055	3.50609357	404037	19	-	19227996	19227492
121793_at	2.75e-28	1.24e-30	12.9998354	58.87001	1.4286048	121793	13	+	110778603	110794541
2902_at	3.17e-28	1.45e-30	12.9809346	58.71685	1.45324872	2902	9	+	139177880	139182691
6262_at	4.09e-28	1.89e-30	12.9483003	58.45254	2.41552615	6262	1	+	236062691	236063214
2849_at	4.79e-28	2.24e-30	12.9277639	58.2863	2.15244172	2849	10	+	125443757	125443951
3760_at	4.90e-28	2.32e-30	12.9235129	58.25189	2.00541289	3760	2	+	155419842	155421077
253152_at	5.09e-28	2.44e-30	12.9171847	58.20068	3.07581162	253152	1	+	92290771	92301633
6993_at	5.91e-28	2.87e-30	-12.8975092	58.0415	-2.10807634	6993	6	-	158978161	158977554
6804_at	7.23e-28	3.55e-30	12.8714289	57.8306	3.18156301	6804	7	-	72751978	72751505
51086_at	1.08e-27	5.37e-30	12.820884	57.42218	2.12074885	51086	1	+	74778517	74782585
9783_at	1.39e-27	6.99e-30	12.7884873	57.16062	2.72564613	9783	1	-	40864946	40858987
3354_at	1.44e-27	7.30e-30	12.7831866	57.11785	1.0246958	3354	6	+	87782536	87783055
1838_at	1.49e-27	7.63e-30	12.7778035	57.07441	1.27302224	1838	2	-	25463678	25453646
25769_at	1.89e-27	9.81e-30	12.7469878	56.82583	1.5416118	25769	9	-	19511006	19506016
123591_at	2.15e-27	1.13e-29	12.7296645	56.68616	0.86469523	123591	15	+	74283866	74284230
6843_at	2.52e-27	1.34e-29	12.7087395	56.51752	2.59771013	6843	12	-	6445399	6441694
114569_at	2.70e-27	1.45e-29	12.6992612	56.44115	5.39891753	114569	8	+	120326577	120326854
340419_at	2.72e-27	1.48e-29	12.6968535	56.42176	3.22090249	340419	8	-	108981293	108981000
4948_at	3.23e-27	1.77e-29	12.6747136	56.24345	1.06549759	4948	15	-	25674186	25673765
93377_at	3.47e-27	1.92e-29	12.6646025	56.16205	5.0095957	93377	10	-	98093515	98093029
59338_at	3.72e-27	2.08e-29	12.6547792	56.08298	2.38870569	59338	10	+	124174439	124181763
200407_at	3.90e-27	2.20e-29	12.6477926	56.02675	4.13461101	200407	2	-	101332199	101331695
23478_at	4.55e-27	2.60e-29	-12.6274894	55.86341	-1.56527105	23478	15	-	83035831	83013811
4190_at	5.17e-27	2.98e-29	12.6106747	55.72818	1.9419256	4190	2	+	63685936	63687612
57528_at	5.81e-27	3.38e-29	12.5950929	55.60292	2.6085498	57528	5	+	143836545	143837041
3761_at	7.53e-27	4.43e-29	12.5618997	55.33622	2.27642444	3761	22	-	37153057	37152313
151647_at	9.04e-27	5.36e-29	12.5382271	55.14613	0.81649164	151647	3	-	68864102	68863660
26507_at	1.59e-26	9.51e-29	12.4676937	54.58036	2.08607937	26507	10	+	101143532	101143950
84539_at	1.98e-26	1.20e-28	12.4394445	54.35402	1.09372436	84539	6	-	100475774	100475411
26468_at	3.15e-26	1.93e-28	12.3805572	53.88268	1.38769511	26468	9	-	124019241	124004739
2903_at	3.42e-26	2.11e-28	12.3694392	53.79377	2.72767359	2903	16	-	9763496	9762985
998_at	4.27e-26	2.65e-28	12.340838	53.56513	3.78964374	998	1	+	22289041	22291912
1740_at	7.36e-26	4.62e-28	12.2721998	53.0171	3.3943626	1740	11	-	82857951	82843928
2805_at	9.91e-26	6.28e-28	12.2342493	52.71448	2.86163749	2805	10	-	101152426	101147131
57554_at	1.26e-25	8.05e-28	12.2034055	52.46874	1.53379958	57554	1	+	70328064	70360456
6334_at	1.33e-25	8.60e-28	12.1952379	52.4037	1.44932926	6334	12	+	50487777	50488303
8632_at	1.70e-25	1.11e-27	12.1636587	52.15235	2.08408054	8632	17	-	73933092	73931427
7433_at	2.10e-25	1.38e-27	12.1363739	51.93534	2.05214332	7433	3	+	42553487	42554017
260293_at	2.39e-25	1.58e-27	12.1192594	51.7993	3.76434078	260293	1	+	47288526	47288947
23031_at	2.60e-25	1.74e-27	12.1077733	51.70803	2.97993888	23031	19	+	18122921	18123301
5646_at	2.70e-25	1.82e-27	12.1022472	51.66413	2.14207216	5646	9	+	33787890	33788542
9228_at	2.97e-25	2.03e-27	12.0883331	51.55362	1.25296964	9228	8	+	1637147	1643889
7105_at	2.97e-25	2.03e-27	-12.0882674	51.5531	-2.6407334	7105	X	-	99775107	99770725
123920_at	3.05e-25	2.10e-27	-12.0840488	51.51961	-2.35576338	123920	16	+	65196310	65205058
5522_at	3.11e-25	2.17e-27	12.0804029	51.49066	3.68708744	5522	4	-	6431110	6373233
2558_at	3.31e-25	2.32e-27	12.0716292	51.42101	4.72657994	2558	15	+	24776150	24776556
4905_at	3.97e-25	2.82e-27	12.0474948	51.22951	2.51061593	4905	17	+	42189423	42189818
22919_at	3.97e-25	2.83e-27	-12.0469696	51.22534	-1.41689411	22919	20	+	30898183	30901745
2051_at	4.44e-25	3.19e-27	12.0320093	51.1067	3.3830691	2051	7	+	142278169	142278852
5136_at	4.81e-25	3.48e-27	12.0211503	51.02061	3.18284279	5136	2	-	182813111	182715460
55294_at	4.84e-25	3.53e-27	12.0194327	51.007	2.87346344	55294	4	-	153466631	153461905
50632_at	6.43e-25	4.73e-27	11.982903	50.71759	3.92567923	50632	10	-	134990409	134989371
79012_at	6.79e-25	5.03e-27	11.9752241	50.65679	3.00770415	79012	3	-	49870972	49870558
64168_at	6.94e-25	5.19e-27	11.9714911	50.62724	4.9670271	64168	8	+	92032571	92037295
1392_at	7.17e-25	5.40e-27	11.9665188	50.58788	1.83501753	1392	8	-	67252054	67251216
9912_at	7.88e-25	5.98e-27	11.9537397	50.48675	3.97109412	9912	17	+	12835085	12835579
127254_at	9.84e-25	7.52e-27	11.9250735	50.26002	3.51655411	127254	1	-	74808456	74806427
121268_at	1.41e-24	1.09e-26	11.8790511	49.89639	1.20391559	121268	12	-	47745415	47744773
3780_at	1.55e-24	1.20e-26	11.866161	49.79462	1.53261657	3780	19	+	17970227	17970724
7480_at	1.59e-24	1.24e-26	11.8623097	49.76422	1.67570453	7480	12	-	47645929	47645524
5725_at	1.78e-24	1.41e-26	-11.8468774	49.64245	-2.03782108	5725	19	+	761577	763267
29993_at	1.91e-24	1.51e-26	11.8374521	49.5681	1.5582818	29993	6	+	34606274	34610936
152330_at	2.44e-24	1.95e-26	11.8060186	49.3203	2.37748717	152330	3	+	3070542	3074578
9796_at	2.56e-24	2.06e-26	11.7989049	49.26425	3.9092911	9796	8	-	22133672	22133198
9717_at	2.58e-24	2.09e-26	11.7969874	49.24914	3.81927834	9717	16	+	5008677	5009073
23154_at	3.86e-24	3.15e-26	11.7454899	48.84375	2.40528277	23154	1	+	35803521	35804906
2149_at	4.63e-24	3.80e-26	-11.7219511	48.65865	-4.03213481	2149	5	+	76066456	76066981
56936_at	8.37e-24	6.92e-26	11.6465992	48.06697	1.81206496	56936	14	-	69106870	69106466
3595_at	8.90e-24	7.41e-26	11.6379471	47.99912	0.63596152	3595	1	+	67634582	67635103
54715_at	1.42e-23	1.19e-25	11.5778122	47.52801	5.05201407	54715	16	+	7620634	7702431
10777_at	1.60e-23	1.35e-25	11.5620139	47.40438	2.93706107	10777	3	+	35700700	35810703
8999_at	1.62e-23	1.38e-25	11.5598738	47.38764	0.80463303	8999	4	-	76741420	76726058
23416_at	1.75e-23	1.50e-25	11.5493356	47.30522	1.56258486	23416	12	+	48237848	48238167
2557_at	2.00e-23	1.72e-25	11.5316403	47.16687	2.98121136	2557	4	-	46625420	46617931
2744_at	2.09e-23	1.81e-25	11.5250837	47.11563	3.21604974	2744	2	+	191527579	191538348
51691_at	2.17e-23	1.89e-25	-11.5198132	47.07445	-1.8635188	51691	7	+	117611509	117619250
25830_at	2.22e-23	1.95e-25	11.5159055	47.04392	3.88584913	25830	22	-	42552232	42551749
4185_at	2.55e-23	2.26e-25	11.4973573	46.89906	1.07958475	4185	17	+	40212910	40214681
64137_at	2.74e-23	2.44e-25	11.4873511	46.82094	1.10091798	64137	11	+	118537988	118538503
1183_at	3.09e-23	2.77e-25	11.4713613	46.69617	2.25924799	1183	X	+	10162247	10163418
222865_at	3.12e-23	2.81e-25	11.4695461	46.68201	4.27465237	222865	7	-	98282996	98282706
11155_at	3.54e-23	3.21e-25	11.4525762	46.54966	1.79391488	11155	10	+	88484175	88484666
139221_at	3.77e-23	3.45e-25	11.4437996	46.48125	3.7072231	139221	X	+	105339044	105339524
26220_at	3.85e-23	3.54e-25	11.440421	46.45491	1.42460821	26220	22	+	17361676	17362017
9899_at	4.08e-23	3.77e-25	11.4322624	46.39133	5.54527233	9899	15	+	89639042	89639450
6854_at	4.17e-23	3.88e-25	11.4287485	46.36396	3.24762152	6854	3	+	12199886	12207838
3872_at	4.28e-23	4.01e-25	11.4246304	46.33188	2.03433736	3872	17	-	37030801	37029360
7532_at	4.36e-23	4.11e-25	11.4214796	46.30733	1.525894	7532	7	-	75794614	75794119
933_at	4.36e-23	4.13e-25	11.4208748	46.30262	0.90908352	933	19	+	40527581	40530038
56829_at	4.84e-23	4.62e-25	-11.4067225	46.19242	-1.88294886	56829	7	-	138396081	138378841
9829_at	5.35e-23	5.13e-25	11.3933366	46.08823	2.67561673	9829	1	+	65653026	65654018
7781_at	5.36e-23	5.17e-25	11.3922719	46.07994	1.47102536	7781	2	-	27331444	27330971
56995_at	5.44e-23	5.28e-25	11.3896922	46.05987	1.28468971	56995	6	+	158848828	158852735
80863_at	6.25e-23	6.10e-25	11.3713742	45.91738	2.75207536	80863	6	-	32225296	32224140
147381_at	8.19e-23	8.04e-25	11.3362417	45.64433	4.46497558	147381	18	-	68355370	68354968
2039_at	8.21e-23	8.11e-25	11.3351904	45.63616	2.89767617	2039	8	+	21995389	21995922
10740_at	8.66e-23	8.60e-25	11.3276922	45.57793	4.32021886	10740	22	-	28163488	28163026
3150_at	8.97e-23	8.96e-25	-11.3224831	45.53748	-1.8394718	3150	21	-	39636622	39636295
134957_at	9.90e-23	9.95e-25	11.309153	45.43401	1.42940959	134957	6	+	147748071	147748521
254531_at	1.26e-22	1.27e-24	11.2776152	45.18939	1.99576607	254531	15	-	32439644	32438530
134548_at	1.45e-22	1.47e-24	11.2593186	45.04759	4.2638261	134548	5	+	132179918	132180352
79698_at	1.50e-22	1.53e-24	11.2544837	45.01013	2.54712697	79698	8	-	40507828	40507346
9645_at	1.74e-22	1.78e-24	11.2346294	44.85638	3.48975538	9645	11	+	12234973	12241862
4036_at	2.07e-22	2.14e-24	11.2115257	44.6776	1.42572043	4036	2	-	169693546	169693193
51277_at	2.19e-22	2.27e-24	11.203785	44.61773	1.24623644	51277	2	-	25027857	25020139
26289_at	2.61e-22	2.72e-24	11.1806256	44.4387	4.8974441	26289	1	+	77756894	77798069
57586_at	2.61e-22	2.74e-24	11.1800818	44.4345	3.99690812	57586	11	-	45220477	45218531
1961_at	2.99e-22	3.15e-24	11.1619484	44.29443	1.44494344	1961	2	-	73372085	73371602
55335_at	3.01e-22	3.20e-24	11.1602095	44.281	1.77227501	55335	9	+	106575291	106575930
5961_at	3.35e-22	3.57e-24	11.1460253	44.1715	1.32591338	5961	6	-	42772797	42772364
63908_at	3.58e-22	3.84e-24	11.136581	44.09863	4.11754701	63908	20	-	23303702	23303223
1149_at	3.92e-22	4.22e-24	11.1245912	44.00614	0.6870776	1149	18	+	12252846	12267186
57460_at	5.44e-22	5.90e-24	11.0817247	43.6758	2.56113529	57460	12	-	61369776	61324138
51761_at	8.10e-22	8.83e-24	11.0300143	43.27797	2.04200269	51761	13	+	25484680	25492330
10399_at	8.91e-22	9.76e-24	-11.0170331	43.17821	-1.53782044	10399	5	-	180601116	180597263
84867_at	1.21e-21	1.33e-23	10.9772438	42.87274	2.91950701	84867	11	-	18710800	18706095
58157_at	1.21e-21	1.34e-23	10.9759436	42.86276	1.09981729	58157	14	-	76806978	76801615
56479_at	1.22e-21	1.36e-23	10.9744371	42.85121	0.98082304	56479	6	+	73961434	73961913
64388_at	1.32e-21	1.48e-23	10.9633734	42.76636	0.82642866	64388	1	-	238722160	238719578
6543_at	1.40e-21	1.58e-23	10.9551785	42.70353	3.10545453	6543	19	-	52624278	52623767
116369_at	1.48e-21	1.68e-23	10.9475309	42.64491	0.69978093	116369	6	-	36019718	36019348
64130_at	1.62e-21	1.83e-23	10.9358675	42.55555	1.86934231	64130	19	+	54311363	54313474
19_at	1.69e-21	1.93e-23	-10.9294774	42.50661	-3.66672188	19	9	-	106584174	106583292
3417_at	1.71e-21	1.96e-23	-10.9275705	42.492	-1.93914924	3417	2	-	208809805	208809223
9312_at	1.77e-21	2.04e-23	10.9220471	42.44971	0.72271166	9312	8	+	74011985	74012939
956_at	1.91e-21	2.21e-23	10.9115717	42.36952	3.16563297	956	3	+	40444569	40444918
84280_at	1.98e-21	2.31e-23	10.9062438	42.32875	1.33522352	84280	11	-	13366677	13366344
170954_at	2.22e-21	2.59e-23	-10.8911158	42.21303	-2.53936271	170954	6	-	30752656	30752281
79762_at	2.29e-21	2.70e-23	10.8861943	42.1754	4.132674	79762	1	+	218938589	218939057
7139_at	2.52e-21	2.97e-23	10.8736291	42.07934	1.29226694	7139	1	-	199599047	199594959
158038_at	2.59e-21	3.08e-23	10.8691639	42.04522	2.90399174	158038	9	-	27938640	27938533
339983_at	2.79e-21	3.33e-23	10.8588433	41.96638	2.54639999	339983	4	+	2037155	2037369
529_at	3.27e-21	3.92e-23	10.837681	41.8048	1.4084191	529	22	-	16455412	16455017
148641_at	3.95e-21	4.76e-23	10.8127427	41.61456	3.12459597	148641	1	+	232526298	232526787
3361_at	4.54e-21	5.49e-23	10.794201	41.47323	0.91437204	3361	7	+	154494088	154507092
2554_at	4.56e-21	5.54e-23	10.7930144	41.46419	6.05762048	2554	5	+	161255336	161258931
402381_at	5.60e-21	6.85e-23	10.7655594	41.25512	1.12652888	402381	9	-	137725550	137725128
118442_at	5.60e-21	6.87e-23	10.7650999	41.25162	2.01850114	118442	3	+	51965990	51966502
56341_at	6.29e-21	7.76e-23	10.749358	41.13184	2.28758728	56341	12	+	3556312	3573355
51606_at	6.63e-21	8.21e-23	10.7420653	41.07638	1.56580247	51606	8	-	54831712	54790939
115584_at	6.86e-21	8.53e-23	10.7369846	41.03775	2.54872057	115584	16	+	24829154	24830363
388662_at	7.32e-21	9.15e-23	10.7278461	40.96829	1.14925474	388662	1	+	110543095	110546133
258010_at	7.32e-21	9.19e-23	10.7273088	40.9642	3.32274551	258010	11	-	22805963	22798752
151126_at	7.45e-21	9.39e-23	10.7244867	40.94276	3.64907862	151126	2	-	180016045	180015066
23335_at	8.25e-21	1.04e-22	10.7106525	40.83766	1.84052166	23335	18	+	52847504	52847880
10888_at	9.15e-21	1.16e-22	10.6965606	40.73066	2.55951775	10888	11	-	93750679	93750184
9348_at	9.79e-21	1.25e-22	10.6872319	40.65987	1.31529625	9348	4	+	119381206	119396343
23221_at	1.08e-20	1.39e-22	10.6733121	40.55427	1.2655713	23221	8	+	22931309	22933520
27020_at	1.12e-20	1.44e-22	10.669038	40.52186	1.50444021	27020	15	-	71639937	71639485
5530_at	1.32e-20	1.71e-22	10.6468576	40.35376	2.05645377	5530	4	-	102166030	102163638
40_at	1.36e-20	1.77e-22	10.6417316	40.31493	1.48201032	40	17	-	28364705	28364251
6750_at	1.41e-20	1.84e-22	10.6371453	40.28019	4.63664928	6750	3	-	188869688	188869437
754_at	1.50e-20	1.97e-22	-10.6283545	40.21363	-1.583212	754	21	-	45094465	45094059
84530_at	1.54e-20	2.04e-22	10.6238274	40.17937	2.90251053	84530	12	+	118081747	118085144
407738_at	1.91e-20	2.53e-22	10.5957098	39.96667	4.56682362	407738	3	+	68676929	68677413
256536_at	2.26e-20	3.00e-22	10.5732616	39.79704	2.01215589	256536	10	-	132781186	132780687
594855_at	2.27e-20	3.03e-22	10.5718402	39.7863	0.83325427	594855	15	+	72910069	72911119
7504_at	2.39e-20	3.20e-22	10.5645886	39.73154	3.57035537	7504	X	+	37475817	37476265
5999_at	2.44e-20	3.29e-22	10.561329	39.70693	5.1996513	5999	1	+	161308821	161312932
11033_at	2.57e-20	3.47e-22	10.554126	39.65256	2.27863192	11033	7	-	904492	904078
128434_at	2.80e-20	3.80e-22	10.5422487	39.56294	2.57793618	128434	20	+	36006609	36007116
4741_at	3.34e-20	4.56e-22	10.5185101	39.38395	6.49580893	4741	8	+	24831975	24832455
144423_at	3.46e-20	4.74e-22	10.5134849	39.34608	2.77673181	144423	12	+	128034948	128035394
10776_at	3.47e-20	4.78e-22	10.5123667	39.33766	1.74777343	10776	15	-	50636674	50626774
388403_at	3.65e-20	5.05e-22	10.5050403	39.28246	1.70741547	388403	17	+	54829295	54833824
654790_at	3.65e-20	5.06e-22	10.5049181	39.28154	2.2543556	654790	1	+	159521405	159521783
5297_at	3.91e-20	5.44e-22	10.4952225	39.20853	2.34891086	5297	22	-	19394236	19392149
1258_at	4.01e-20	5.61e-22	10.4913464	39.17935	0.45515177	1258	16	-	56479300	56475116
256714_at	4.30e-20	6.04e-22	10.4816218	39.10616	3.74783501	256714	X	-	19944312	19935164
84926_at	4.39e-20	6.19e-22	10.4783178	39.0813	1.58173067	84926	12	-	51745203	51744705
170850_at	4.55e-20	6.43e-22	10.4733239	39.04373	0.48072066	170850	2	-	42525112	42522682
3617_at	4.87e-20	6.92e-22	10.4638217	38.97227	0.48316629	3617	6	-	76688351	76687922
1123_at	5.56e-20	7.92e-22	10.4459669	38.83806	3.23751578	1123	2	-	175373000	175372539
127703_at	5.97e-20	8.54e-22	10.4360759	38.76376	1.75818852	127703	1	-	35952614	35952099
8895_at	5.98e-20	8.60e-22	-10.4351628	38.75691	-1.56944942	8895	8	+	87640407	87642538
9581_at	6.70e-20	9.66e-22	10.4198694	38.64209	1.56656616	9581	2	-	44402035	44398374
84440_at	7.25e-20	1.05e-21	10.4088438	38.55936	2.70606922	84440	17	+	26883614	26889143
54499_at	8.50e-20	1.24e-21	-10.3873625	38.39828	-1.28430541	54499	1	-	164004563	163963245
57468_at	8.94e-20	1.31e-21	10.3802169	38.34474	5.64445338	57468	20	+	44121620	44122147
10814_at	9.80e-20	1.44e-21	10.3676878	38.25089	2.17146499	10814	5	+	175238343	175243569
23072_at	1.17e-19	1.73e-21	10.3435596	38.0703	2.07342644	23072	7	+	43568892	43569418
54511_at	1.42e-19	2.10e-21	10.3173461	37.87431	2.12087466	54511	6	-	55468212	55407173
9960_at	1.45e-19	2.15e-21	-10.3147715	37.85508	-1.98582724	9960	15	+	61670376	61670687
401190_at	1.48e-19	2.20e-21	10.311366	37.82964	3.37951889	401190	5	+	63943606	63943844
51474_at	1.54e-19	2.30e-21	-10.3055447	37.78615	-2.33092352	51474	12	-	48963515	48855885
5172_at	1.79e-19	2.69e-21	10.2849084	37.63211	1.24557516	5172	7	+	107144894	107145358
729178_at	1.88e-19	2.83e-21	10.2782018	37.58207	0.55048785	729178	6	-	147227400	147224772
6855_at	1.89e-19	2.85e-21	10.2770312	37.57334	2.50871888	6855	X	-	48931703	48931233
79641_at	1.95e-19	2.95e-21	10.2725146	37.53965	2.2588365	79641	16	-	4787478	4786999
398_at	1.95e-19	2.97e-21	10.271977	37.53564	2.38216085	398	16	+	271865	272838
54704_at	2.02e-19	3.09e-21	10.266633	37.4958	2.48998835	54704	8	+	95005221	95007342
2563_at	2.18e-19	3.34e-21	10.256234	37.41829	2.83780551	2563	1	+	1950863	1951983
81542_at	2.41e-19	3.71e-21	-10.2422455	37.31407	-1.80560265	81542	14	+	50783640	50792389
55753_at	2.42e-19	3.74e-21	10.2413603	37.30748	2.90562406	55753	10	-	50613247	50612776
2572_at	2.42e-19	3.75e-21	10.2409198	37.3042	1.57510058	2572	10	+	26609944	26633439
