source,target,weight
BUB1B,CCNB1,0.998
BUB1B,DEPDC1B,0.797
ANLN,BUB1B,0.8
BUB1B,CDCA5,0.851
BUB1B,TYMS,0.72
BUB1B,RAD54L,0.745
BUB1B,EXO1,0.807
BUB1B,CDC25C,0.809
BUB1B,CDC45,0.817
BUB1B,DEPDC1,0.85
BUB1B,PCLAF,0.875
BUB1B,HMMR,0.882
BUB1B,HJURP,0.897
BUB1B,RRM2,0.922
BUB1B,TPX2,0.936
BUB1B,CEP55,0.939
BUB1B,NUSAP1,0.953
BUB1B,MELK,0.953
BUB1B,KIF4A,0.968
ASPM,BUB1B,0.974
BUB1B,KIF20A,0.977
BUB1B,TOP2A,0.98
BUB1B,TTK,0.991
BUB1B,UBE2C,0.991
BUB1B,CCNB2,0.993
BUB1B,CCNA2,0.994
BUB1B,CDCA8,0.994
BUB1B,ZWINT,0.996
BUB1B,NEK2,0.999
BUB1B,CDC20,0.999
BUB1B,CENPF,0.999
C5AR1,CD93,0.708
C5AR1,CFP,0.766
C5AR1,CXCL8,0.789
C5AR1,CXCR2,0.783
C6,C8B,0.984
C6,C7,0.995
C6,C7,0.995
C7,CLU,0.847
C7,C8B,0.991
C8B,CPB2,0.716
C6,C8B,0.984
C8B,CLU,0.77
C7,C8B,0.991
CA3,CYP24A1,0.786
CA3,CA4,0.845
CA4,CYP24A1,0.77
CA3,CA4,0.845
CALCRL,RAMP3,0.999
CALCRL,RAMP2,0.999
ACTN2,CASQ2,0.703
CAT,SOD1,0.92
CAV1,CAV2,0.999
CAV1,CDH1,0.768
CAV1,ERBB2,0.735
CAV1,EGFR,0.999
CAV1,DLC1,0.785
CAV1,CAVIN2,0.946
CAV1,CDH5,0.712
CAV1,IL6,0.714
CAV1,CLDN5,0.733
